1100001;bu-S0347092
1100002;bu-S0347095
1100003;bu-S0347101
1100004;bu-S0347125
1100005;bu-S0365284
1100006;bu-S0365285
1100007;bu-S0365287
1100008;bu-S0365289
1100009;bu-S0365290
1100010;bu-S0365292
1100011;bu-S0365293
1100012;bu-S0365477
1100013;bu-S0365478
1100014;bu-S0365481
1100015;bu-S0365485
1100016;bu-S0365486
1100017;bu-S0365488
1100018;bu-S0365489
1100019;bu-S0365490
1100020;bu-S0365491
1100021;bu-S0365495
1100022;bu-S0365496
1100023;bu-S0365498
1100024;bu-S0365500
1100025;bu-S0365501
1100026;bu-S0365506
1100027;bu-S0365507
1100028;bu-S0365510
1100029;bu-S0365512
1100030;bu-S0365513
1100031;bu-S0365517
1100032;bu-S0365520
1100033;bu-S0365522
1100034;bu-S0365523
1100035;bu-S0365525
1100036;bu-S0365526
1100037;bu-S0365528
1100038;bu-S0365529
1100039;bu-S0365531
1100040;bu-S0365532
1100041;bu-S0365533
1100042;bu-S0365534
1100043;bu-S0365535
1100044;bu-S0365536
1100045;bu-S0365538
1100046;bu-S0365541
1100047;bu-S0365542
1100048;bu-S0365543
1100049;bu-S0365544
1100050;bu-S0365545
1100051;bu-S0365546
1100052;bu-S0365548
1100053;bu-S0365549
1100054;bu-S0365550
1100055;bu-S0365551
1100056;bu-S0365552
1100057;bu-S0365553
1100058;bu-S0365554
1100059;bu-S0365556
1100060;bu-S0365557
1100061;bu-S0365558
1100062;bu-S0365560
1100063;bu-S0365565
1100064;bu-S0365566
1100065;bu-S0365567
1100066;bu-S0365568
1100067;bu-S0365572
1100068;bu-S0365479
1100069;bu-S0365482
1100070;bu-S0365487
1100071;bu-S0365521
1100072;bu-S0365524
1100073;bu-S0365527
1100074;bu-S0365547
1100075;bu-S0338565
1100076;bu-S0338566
1100077;bu-S0338567
1100078;bu-S0338568
1100079;bu-S0338571
1100080;bu-S0338572
1100081;bu-S0338583
1100082;bu-S0338585
1100083;bu-S0338588
1100084;bu-S0338589
1100085;bu-S0338601
1100086;bu-S0338610
1100087;bu-S0338629
1100088;bu-S0338630
1100089;bu-S0338579
1100090;bu-S0338612
1100091;bu-S0338614
1100092;bu-S0338617
1100093;bu-S0338623
1100094;bu-S0338625
1100095;bu-S0338626
1100096;bu-S0369649
1100097;bu-S0369650
1100098;bu-S0369651
1100099;bu-S0369652
1100100;bu-S0338620
1100101;bu-S0369647
1100102;bu-S0369648
1100103;bu-S0369653
1100104;bu-S0369654
1100105;bu-S0369655
1100106;bu-S0369656
1100107;bu-S0369657
1100108;bu-S0316266
1100109;bu-S0364340
1100110;bu-S0344063
1100111;bu-S0344064
1100112;bu-S0344067
1100113;bu-S0344068
1100114;bu-S0344074
1100115;bu-S0344075
1100116;bu-S0344076
1100117;bu-S0344854
1100118;bu-S0344855
1100119;bu-S0344857
1100120;bu-S0344859
1100121;bu-S0344860
1100122;bu-S0344866
1100123;bu-S0344868
1100124;bu-S0363547
1100125;bu-S0344876
1100126;bu-S0344877
1100127;bu-S0344883
1100128;bu-S0344884
1100129;bu-S0344901
1100130;bu-S0344902
1100131;bu-S0344904
1100132;bu-S0344907
1100133;bu-S0344914
1100134;bu-S0344916
1100135;bu-S0344917
1100136;bu-S0316254
1100137;bu-S0316257
1100139;bu-S0316267
1100140;bu-S0316272
1100141;bu-S0316273
1100142;bu-S0316276
1100143;bu-S0316286
1100144;bu-S0316290
1100145;bu-S0316297
1100146;bu-S0316588
1100147;bu-S0316589
1100148;bu-S0316590
1100149;bu-S0316598
1100150;bu-S0316601
1100151;bu-S0316628
1100152;bu-S0316629
1100153;bu-S0316630
1100154;bu-S0316633
1100155;bu-S0316639
1100156;bu-S0316640
1100157;bu-S0316642
1100158;bu-S0316643
1100159;bu-S0316645
1100160;bu-S0316646
1100161;bu-S0316647
1100162;bu-S0316648
1100163;bu-S0316649
1100164;bu-S0316652
1100165;bu-S0316740
1100166;bu-S0363540
1100167;bu-S0363544
1100168;bu-S0317230
1100169;bu-S0317717
1100170;bu-S0317723
1100171;bu-S0358076
1100172;bu-S0317729
1100173;bu-S0317736
1100174;bu-S0317740
1100175;bu-S0317741
1100176;bu-S0317742
1100177;bu-S0317743
1100178;bu-S0317768
1100179;bu-S0317749
1100180;bu-S0317751
1100181;bu-S0317752
1100182;bu-S0317754
1100183;bu-S0317755
1100184;bu-S0317766
1100185;bu-S0317772
1100186;bu-S0363539
1100187;bu-S0317781
1100188;bu-S0317783
1100189;bu-S0317784
1100190;bu-S0317785
1100191;bu-S0317787
1100192;bu-S0317788
1100193;bu-S0317789
1100194;bu-S0317790
1100195;bu-S0317793
1100196;bu-S0317794
1100197;bu-S0317797
1100198;bu-S0317798
1100199;bu-S0317800
1100200;bu-S0317803
1100201;bu-S0317810
1100202;bu-S0317809
1100203;bu-S0317812
1100204;bu-S0317811
1100205;bu-S0317813
1100206;bu-S0317815
1100207;bu-S0317814
1100208;bu-S0317817
1100209;bu-S0317816
1100210;bu-S0317818
1100211;bu-S0317819
1100212;bu-S0317820
1100213;bu-S0317821
1100214;bu-S0317822
1100215;bu-S0317823
1100216;bu-S0317825
1100217;bu-S0317828
1100218;bu-S0317826
1100219;bu-S0317827
1100220;bu-S0317829
1100221;bu-S0325646
1100222;bu-S0325645
1100223;bu-S0325648
1100224;bu-S0325647
1100225;bu-S0325658
1100226;bu-S0358028
1100227;bu-S0325659
1100228;bu-S0362377
1100229;bu-S0362378
1100230;bu-S0325677
1100231;bu-S0325676
1100232;bu-S0358026
1100233;bu-S0325695
1100234;bu-S0362357
1100235;bu-S0362360
1100236;bu-S0362361
1100237;bu-S0325712
1100238;bu-S0344036
1100239;bu-S0344037
1100240;bu-S0344102
1100241;bu-S0358036
1100242;bu-S0344002
1100243;bu-S0344003
1100244;bu-S0344006
1100245;bu-S0344005
1100246;bu-S0344008
1100247;bu-S0344013
1100248;bu-S0344051
1100249;bu-S0358041
1100250;bu-S0344837
1100251;bu-S0358067
1100252;bu-S0344841
1100253;bu-S0344842
1100254;bu-S0344843
1100255;bu-S0344844
1100256;bu-S0344845
1100257;bu-S0362379
1100258;bu-S0362403
1100259;bu-S0353729
1100260;bu-S0353720
1100261;bu-S0362351
1100262;bu-S0362353
1100263;bu-S0353889
1100264;bu-S0353890
1100265;bu-S0362350
1100266;bu-S0353822
1100267;bu-S0353834
1100268;bu-S0363527
1100269;bu-S0363531
1100270;bu-S0353896
1100271;bu-S0353897
1100272;bu-S0353869
1100273;bu-S0353868
1100274;bu-S0362354
1100275;bu-S0353727
1100276;bu-S0353871
1100277;bu-S0353728
1100278;bu-S0353901
1100279;bu-S0353900
1100280;bu-S0362355
1100281;bu-S0353903
1100282;bu-S0362386
1100283;bu-S0353726
1100284;bu-S0362402
1100285;bu-S0353717
1100286;bu-S0353723
1100287;bu-S0353725
1100288;bu-S0353918
1100289;bu-S0363520
1100290;bu-S0353925
1100291;bu-S0353926
1100292;bu-S0353927
1100293;bu-S0353930
1100294;bu-S0353931
1100295;bu-S0363537
1100296;bu-S0363538
1100297;bu-S0353939
1100298;bu-S0363526
1100299;bu-S0353941
1100300;bu-S0353942
1100301;bu-S0353721
1100302;bu-S0353872
1100303;bu-S0353916
1100304;bu-S0353921
1100305;bu-S0353936
1100306;bu-S0353937
1100307;bu-S0354168
1100308;bu-S0354169
1100309;bu-S0354173
1100310;bu-S0357840
1100311;bu-S0357848
1100312;bu-S0357852
